Ref,Val,Package,PosX,PosY,Rot,Side
"U1","Pico","RPi_Pico_SMDonly",124.000000,-120.725000,90.000000,bottom
"C1","100n/50V","C_0805_2012Metric",66.750000,-102.250000,90.000000,top
"C2","100n/50V","C_0805_2012Metric",148.000000,-130.400000,-90.000000,top
"D1","LED","LED_0603_1608Metric",145.900000,-100.400000,0.000000,top
"D2","1N4148W","D_SOD-323",106.300000,-131.500000,-90.000000,top
"D3","1N4148W","D_SOD-323",106.300000,-128.000000,-90.000000,top
"D4","1N4148W","D_SOD-323",120.200000,-127.750000,90.000000,top
"D5","1N4148W","D_SOD-323",120.200000,-131.400000,90.000000,top
"D6","SS24B","D_SMB",117.600000,-110.700000,180.000000,top
"D7","SS24B","D_SMB",117.650000,-105.400000,0.000000,top
"D8","SS24B","D_SMB",109.200000,-110.700000,0.000000,top
"D9","SS24B","D_SMB",109.150000,-105.400000,180.000000,top
"D10","1N4148W","D_SOD-323",89.775000,-131.675000,-90.000000,top
"D11","1N4148W","D_SOD-323",89.775000,-128.175000,-90.000000,top
"D12","1N4148W","D_SOD-323",103.675000,-127.925000,90.000000,top
"D13","1N4148W","D_SOD-323",103.675000,-131.575000,90.000000,top
"D14","SS24B","D_SMB",101.075000,-110.875000,180.000000,top
"D15","SS24B","D_SMB",101.125000,-105.575000,0.000000,top
"D16","SS24B","D_SMB",92.675000,-110.875000,0.000000,top
"D17","SS24B","D_SMB",92.625000,-105.575000,180.000000,top
"D18","1N4148W","D_SOD-323",73.150000,-131.650000,-90.000000,top
"D19","1N4148W","D_SOD-323",73.150000,-128.150000,-90.000000,top
"D20","1N4148W","D_SOD-323",87.050000,-127.900000,90.000000,top
"D21","1N4148W","D_SOD-323",87.050000,-131.550000,90.000000,top
"D22","SS24B","D_SMB",84.450000,-110.850000,180.000000,top
"D23","SS24B","D_SMB",84.500000,-105.550000,0.000000,top
"D24","SS24B","D_SMB",76.050000,-110.850000,0.000000,top
"D25","SS24B","D_SMB",76.000000,-105.550000,180.000000,top
"D26","D","D_SOD-523",147.800000,-104.200000,90.000000,top
"D27","D","D_SOD-523",138.050000,-129.850000,-90.000000,top
"D28","D","D_SOD-523",136.150000,-104.250000,90.000000,top
"D29","D","D_SOD-523",130.900000,-129.750000,90.000000,top
"D30","D","D_SOD-523",143.450000,-104.300000,90.000000,top
"D31","D","D_SOD-523",140.500000,-129.200000,180.000000,top
"D32","D","D_SOD-523",132.050000,-104.150000,90.000000,top
"D33","D","D_SOD-523",128.650000,-129.250000,180.000000,top
"D34","D","D_SOD-523",138.300000,-103.800000,-90.000000,top
"D35","D","D_SOD-523",143.050000,-130.000000,-90.000000,top
"D36","D","D_SOD-523",130.450000,-104.150000,90.000000,top
"D37","D","D_SOD-523",136.100000,-129.850000,90.000000,top
"D38","D","D_SOD-523",140.450000,-104.950000,0.000000,top
"D39","D","D_SOD-523",145.300000,-129.200000,180.000000,top
"D40","D","D_SOD-523",128.250000,-104.900000,0.000000,top
"D41","D","D_SOD-523",133.800000,-129.300000,180.000000,top
"J1","WAGO 250-206","WAGO-250-206",139.000000,-94.500000,180.000000,top
"J2","WAGO 250-206","WAGO-250-206",114.500000,-94.500000,180.000000,top
"J3","WAGO 250-206","WAGO-250-206",89.750000,-94.500000,180.000000,top
"Q1","IRF7343","SO-8_3.9x4.9mm_P1.27mm",116.650000,-117.600000,90.000000,top
"Q2","IRF7343","SO-8_3.9x4.9mm_P1.27mm",110.000000,-117.600000,90.000000,top
"Q3","IRF7343","SO-8_3.9x4.9mm_P1.27mm",100.125000,-117.775000,90.000000,top
"Q4","IRF7343","SO-8_3.9x4.9mm_P1.27mm",93.475000,-117.775000,90.000000,top
"Q5","IRF7343","SO-8_3.9x4.9mm_P1.27mm",83.500000,-117.750000,90.000000,top
"Q6","IRF7343","SO-8_3.9x4.9mm_P1.27mm",76.850000,-117.750000,90.000000,top
"R1","470","R_0402_1005Metric",145.900000,-102.100000,180.000000,top
"R2","1k","R_0402_1005Metric",106.300000,-133.850000,0.000000,top
"R3","1k","R_0402_1005Metric",106.300000,-125.550000,0.000000,top
"R4","1k","R_0402_1005Metric",120.200000,-125.350000,180.000000,top
"R5","1k","R_0402_1005Metric",120.160000,-133.900000,180.000000,top
"R6","47k","R_0402_1005Metric",108.850000,-123.710000,90.000000,top
"R7","47k","R_0402_1005Metric",113.400000,-122.000000,180.000000,top
"R8","47k","R_0402_1005Metric",111.300000,-123.700000,90.000000,top
"R9","47k","R_0402_1005Metric",115.600000,-123.650000,90.000000,top
"R10","47k","R_0402_1005Metric",112.900000,-124.150000,180.000000,top
"R11","47k","R_0402_1005Metric",117.300000,-124.100000,0.000000,top
"R12","47k","R_0402_1005Metric",117.900000,-122.000000,180.000000,top
"R13","47k","R_0402_1005Metric",111.300000,-122.000000,180.000000,top
"R14","10k","R_0402_1005Metric",147.400000,-115.400000,90.000000,top
"R15","10k","R_0402_1005Metric",144.900000,-115.400000,90.000000,top
"R16","10k","R_0402_1005Metric",142.300000,-115.400000,90.000000,top
"R17","10k","R_0402_1005Metric",139.800000,-115.400000,90.000000,top
"R18","10k","R_0402_1005Metric",146.200000,-104.350000,90.000000,top
"R19","10k","R_0402_1005Metric",144.900000,-104.350000,90.000000,top
"R20","10k","R_0402_1005Metric",140.950000,-103.250000,90.000000,top
"R21","10k","R_0402_1005Metric",139.700000,-103.250000,90.000000,top
"R22","1k","R_0402_1005Metric",89.775000,-134.025000,0.000000,top
"R23","1k","R_0402_1005Metric",89.775000,-125.725000,0.000000,top
"R24","1k","R_0402_1005Metric",103.675000,-125.525000,180.000000,top
"R25","1k","R_0402_1005Metric",103.635000,-134.075000,180.000000,top
"R26","47k","R_0402_1005Metric",92.325000,-123.885000,90.000000,top
"R27","47k","R_0402_1005Metric",96.875000,-122.175000,180.000000,top
"R28","47k","R_0402_1005Metric",94.775000,-123.875000,90.000000,top
"R29","47k","R_0402_1005Metric",99.075000,-123.825000,90.000000,top
"R30","47k","R_0402_1005Metric",96.375000,-124.325000,180.000000,top
"R31","47k","R_0402_1005Metric",100.775000,-124.275000,0.000000,top
"R32","47k","R_0402_1005Metric",101.375000,-122.175000,180.000000,top
"R33","47k","R_0402_1005Metric",94.775000,-122.175000,180.000000,top
"R34","1k","R_0402_1005Metric",73.150000,-134.000000,0.000000,top
"R35","1k","R_0402_1005Metric",73.150000,-125.700000,0.000000,top
"R36","1k","R_0402_1005Metric",87.050000,-125.500000,180.000000,top
"R37","1k","R_0402_1005Metric",87.010000,-134.050000,180.000000,top
"R38","47k","R_0402_1005Metric",75.700000,-123.860000,90.000000,top
"R39","47k","R_0402_1005Metric",80.250000,-122.150000,180.000000,top
"R40","47k","R_0402_1005Metric",78.150000,-123.850000,90.000000,top
"R41","47k","R_0402_1005Metric",82.450000,-123.800000,90.000000,top
"R42","47k","R_0402_1005Metric",79.750000,-124.300000,180.000000,top
"R43","47k","R_0402_1005Metric",84.150000,-124.250000,0.000000,top
"R44","47k","R_0402_1005Metric",84.750000,-122.150000,180.000000,top
"R45","47k","R_0402_1005Metric",78.150000,-122.150000,180.000000,top
"R46","10k","R_0402_1005Metric",138.600000,-118.400000,-90.000000,top
"R47","10k","R_0402_1005Metric",141.100000,-118.400000,-90.000000,top
"R48","10k","R_0402_1005Metric",143.650000,-118.400000,-90.000000,top
"R49","10k","R_0402_1005Metric",146.400000,-118.400000,-90.000000,top
"R50","10k","R_0402_1005Metric",139.800000,-131.110000,-90.000000,top
"R51","10k","R_0402_1005Metric",141.100000,-131.140000,-90.000000,top
"R52","10k","R_0402_1005Metric",144.750000,-131.240000,-90.000000,top
"R53","10k","R_0402_1005Metric",145.950000,-131.190000,-90.000000,top
"R54","10k","R_0402_1005Metric",136.000000,-115.600000,90.000000,top
"R55","10k","R_0402_1005Metric",133.350000,-115.550000,90.000000,top
"R56","10k","R_0402_1005Metric",130.850000,-115.550000,90.000000,top
"R57","10k","R_0402_1005Metric",128.300000,-115.550000,90.000000,top
"R58","10k","R_0402_1005Metric",134.700000,-104.300000,90.000000,top
"R59","10k","R_0402_1005Metric",133.400000,-104.300000,90.000000,top
"R60","10k","R_0402_1005Metric",128.800000,-103.150000,90.000000,top
"R61","10k","R_0402_1005Metric",127.550000,-103.150000,90.000000,top
"R62","10k","R_0402_1005Metric",127.050000,-118.300000,-90.000000,top
"R63","10k","R_0402_1005Metric",129.600000,-118.300000,-90.000000,top
"R64","10k","R_0402_1005Metric",132.150000,-118.300000,-90.000000,top
"R65","10k","R_0402_1005Metric",134.700000,-118.300000,-90.000000,top
"R66","10k","R_0402_1005Metric",128.000000,-131.150000,-90.000000,top
"R67","10k","R_0402_1005Metric",129.500000,-131.150000,-90.000000,top
"R68","10k","R_0402_1005Metric",133.500000,-131.390000,-90.000000,top
"R69","10k","R_0402_1005Metric",134.700000,-131.400000,-90.000000,top
"U2","LTV-247","SOP-16_4.4x10.4mm_P1.27mm",113.350000,-129.150000,90.000000,top
"U3","LTV-247","SOP-16_4.4x10.4mm_P1.27mm",143.000000,-110.000000,-90.000000,top
"U4","LTV-247","SOP-16_4.4x10.4mm_P1.27mm",96.825000,-129.325000,90.000000,top
"U5","LTV-247","SOP-16_4.4x10.4mm_P1.27mm",80.200000,-129.300000,90.000000,top
"U6","LTV-247","SOP-16_4.4x10.4mm_P1.27mm",143.000000,-124.000000,90.000000,top
"U7","LTV-247","SOP-16_4.4x10.4mm_P1.27mm",131.500000,-110.000000,-90.000000,top
"U8","LTV-247","SOP-16_4.4x10.4mm_P1.27mm",131.500000,-124.000000,90.000000,top
